"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2021","342.94","342.43","343.81","338.70","149.14M","-0.34%"
"02/02/2021","344.12","344.07","345.31","341.76","140.53M","0.45%"
"02/01/2021","342.57","336.08","342.57","332.83","162.15M","2.42%"
"01/29/2021","334.49","336.04","339.28","332.33","204.10M","-1.01%"
"01/28/2021","337.91","335.35","341.49","334.61","178.64M","0.54%"
"01/27/2021","336.09","340.45","342.02","334.52","209.85M","-1.73%"
"01/26/2021","342.00","340.09","342.94","339.64","146.46M","0.78%"
"01/25/2021","339.36","337.12","341.73","335.51","171.74M","0.68%"
"01/22/2021","337.06","334.99","337.62","334.30","136.85M","0.23%"
"01/21/2021","336.29","336.25","336.73","333.32","131.44M","-0.28%"
"01/20/2021","337.25","330.35","338.60","329.87","153.79M","2.02%"
"01/19/2021","330.58","333.71","333.80","329.57","133.41M","-0.35%"
"01/15/2021","331.74","327.45","332.57","326.50","139.70M","1.19%"
"01/14/2021","327.83","327.92","329.82","325.94","158.08M","0.43%"
"01/13/2021","326.42","322.91","327.01","322.91","145.34M","1.22%"
"01/12/2021","322.50","321.92","322.88","319.29","152.25M","0.02%"
"01/11/2021","322.42","325.76","326.68","321.73","143.99M","-1.46%"
"01/08/2021","327.21","325.00","328.09","324.75","152.63M","0.98%"
"01/07/2021","324.02","323.94","325.01","322.19","191.04M","-0.01%"
"01/06/2021","324.05","324.68","326.27","322.26","192.18M","-0.08%"
"01/05/2021","324.30","324.85","327.23","324.01","160.42M","0.01%"
"01/04/2021","324.27","336.41","336.85","324.25","192.33M","-3.40%"
"12/31/2020","335.70","331.75","336.03","329.83","117.93M","1.01%"
"12/30/2020","332.33","331.30","334.58","330.97","108.46M","0.31%"
"12/29/2020","331.31","335.48","336.72","330.88","112.95M","-0.83%"
"12/28/2020","334.07","332.25","334.34","331.09","131.14M","0.87%"
"12/24/2020","331.19","329.58","331.24","328.98","47.69M","0.77%"
"12/23/2020","328.65","332.52","334.26","328.49","130.11M","-0.81%"
"12/22/2020","331.33","329.19","331.47","327.84","138.12M","0.77%"
"12/21/2020","328.79","326.28","329.15","324.71","187.40M","-0.60%"
"12/18/2020","330.76","337.12","337.41","328.63","365.98M","-1.83%"
"12/17/2020","336.94","335.13","337.03","333.80","182.15M","1.10%"
"12/16/2020","333.27","334.13","335.52","331.81","206.39M","0.03%"
"12/15/2020","333.17","327.01","333.20","326.19","258.60M","1.93%"
"12/14/2020","326.85","330.90","333.11","326.63","165.42M","-0.62%"
"12/11/2020","328.90","327.40","329.08","325.62","144.54M","0.05%"
"12/10/2020","328.75","329.06","331.27","327.66","167.27M","-0.49%"
"12/09/2020","330.37","333.82","333.95","328.52","167.18M","-0.82%"
"12/08/2020","333.10","334.02","335.17","332.81","150.61M","-0.46%"
"12/07/2020","334.65","336.60","337.74","333.59","148.60M","-0.83%"
"12/04/2020","337.44","334.69","337.54","334.53","160.27M","1.44%"
"12/03/2020","332.65","330.41","334.08","330.06","156.44M","0.84%"
"12/02/2020","329.88","332.18","334.27","329.67","148.97M","-0.98%"
"12/01/2020","333.16","332.54","334.55","331.91","161.21M","1.14%"
"11/30/2020","329.40","331.89","331.93","328.08","282.38M","-0.81%"
"11/27/2020","332.08","334.16","334.37","330.98","74.88M","-0.38%"
"11/25/2020","333.33","333.22","333.82","330.60","163.56M","0.08%"
